Japanese,English
1人,1 person
許可,permission
勇気,courage
最悪,worst
本気,Seriously
全然,not at all
任務,mission
日本,Japan
作戦,strategy
成功,success
進,Susumu
近づ,approach
品,Goods
消,Disappear
小さな,small
科学,science
放,release
向こう,beyond
事実,fact
食,food
関,Seki
戦い,Fight
少年,boy
爆発,explosion
現実,reality
保護,protection
地下,underground
隊,squad
地,earth
別れ,farewell
時代,era
使え,Use it
組織,organization
式,formula
落ち着け,Calm down
動物,animal
無し,none
下が,The bottom is
技術,technology
個人,individual
期待,expectations
調子,condition
線,line
局,Bureau
利用,use
主人,master
館,Hall
毎日,every day
付,With
当然,Of course
患者,patient
全,all
今朝,this morning
過ご,spend time
馬,Horse
あー,ah
あたし,I
立て,stand up
地獄,hell
：,:
合,If
続,Continued
陛下,His Majesty
小さ,small
火,fire
平気,I'm fine
世話,care
能力,ability
理子,Riko
検査,inspection
アレックス,Alex
木,wood
号,issue
山,Mountain
解,Solution
警部,Inspector
食事,meal
幸運,good luck
構,Structure
侵入,intrusion
駄目,No good
緊急,emergency
親父,father
気付,care
主,main
速,speed
代わり,substitute
休,Closed
原因,cause
警告,caveat
山里,mountain village
特に,especially
部下,subordinate
運命,destiny
到着,arrival
自殺,suicide
屋,shop
現在,the current
一部,part
行為,action
遺体,corpse
